No,Country/Region,App,Date,Ad requests,Returned ads,Impressions,Clicks,Fill rate%,Impression rate%,Click-through rate%,Estimated total revenue (USD),RPM (USD),Viewable impressions,Viewable impression rate%
192,"	Sri Lanka","	Kick Ball Crazy","	20210425",924,229,60,23,24.78,26.2,38.33,0.03,0.44,68,29.69
193,"	Guatemala","	Kick Ball Crazy","	20210425",72,41,37,0,56.94,90.24,0,0.03,0.71,39,95.12
194,"	Somalia","	Kick Ball Crazy","	20210425",242,52,44,6,21.49,84.62,13.64,0.02,0.47,44,84.62
195,"	Libya","	Kick Ball Crazy","	20210425",129,75,50,11,58.14,66.67,22,0.02,0.38,51,68
196,"	Côte d'Ivoire","	Kick Ball Crazy","	20210425",357,150,68,12,42.02,45.33,17.65,0.02,0.24,68,45.33
197,"	Algeria","	Kick Ball Crazy","	20210425",179,92,39,5,51.4,42.39,12.82,0.02,0.41,55,59.78
198,"	New Zealand","	Kick Ball Crazy","	20210425",16,16,10,2,100,62.5,20,0.01,1.39,10,62.5
199,"	Singapore","	Kick Ball Crazy","	20210425",29,29,25,5,100,86.21,20,0.01,0.49,25,86.21
200,"	the State of Palestine","	Kick Ball Crazy","	20210425",8,8,4,0,100,50,0,0.01,2.45,4,50
201,"	the Democratic Republic of the Congo","	Kick Ball Crazy","	20210425",23,23,21,2,100,91.3,9.52,0.01,0.44,22,95.65
202,"	Japan","	Kick Ball Crazy","	20210425",86,32,30,1,37.21,93.75,3.33,0.01,0.3,31,96.88
203,"	Djibouti","	Kick Ball Crazy","	20210425",236,39,25,4,16.53,64.1,16,0.01,0.27,25,64.1
204,"	Montenegro","	Kick Ball Crazy","	20210425",145,68,10,3,46.9,14.71,30,0.01,0.6,10,14.71
205,"	Monaco","	Kick Ball Crazy","	20210425",45,13,12,2,28.89,92.31,16.67,0,0.34,12,92.31
206,"	Macao(China)","	Kick Ball Crazy","	20210425",308,5,4,0,1.62,80,0,0,0.96,4,80
207,"	Mali","	Kick Ball Crazy","	20210425",65,17,11,2,26.15,64.71,18.18,0,0.17,11,64.71
208,"	Nigeria","	Kick Ball Crazy","	20210425",39,12,5,1,30.77,41.67,20,0,0.32,10,83.33
209,"	Senegal","	Kick Ball Crazy","	20210425",137,13,12,4,9.49,92.31,33.33,0,0.13,12,92.31
210,"	Ireland","	Kick Ball Crazy","	20210425",22,22,2,0,100,9.09,0,0,0.69,2,9.09
211,"	Afghanistan","	Kick Ball Crazy","	20210425",35,25,1,2,71.43,4,200,0,1.08,4,16
212,"	Dominican Republic","	Kick Ball Crazy","	20210425",34,1,1,0,2.94,100,0,0,1.02,1,100
213,"	Ethiopia","	Kick Ball Crazy","	20210425",4,1,1,1,25,100,100,0,0.32,1,100
214,"	Zimbabwe","	Kick Ball Crazy","	20210425",64,16,4,0,25,25,0,0,0.02,4,25
215,"	Guadeloupe","	Kick Ball Crazy","	20210425",5,0,0,0,0,0,0,0,0,0,0
216,"	Chinese mainland","	Kick Ball Crazy","	20210425",1019,0,0,0,0,0,0,0,0,0,0
217,"	Gabon","	Kick Ball Crazy","	20210425",2,0,0,0,0,0,0,0,0,0,0
218,"	Virgin Islands(U.S.)","	Kick Ball Crazy","	20210425",148,0,0,0,0,0,0,0,0,0,0
219,"	Georgia","	Kick Ball Crazy","	20210425",66,0,0,0,0,0,0,0,0,0,0
220,"	Chad","	Kick Ball Crazy","	20210425",32,0,0,0,0,0,0,0,0,0,0
221,"	Fiji","	Kick Ball Crazy","	20210425",45,0,0,0,0,0,0,0,0,0,0
222,"	Bolivia","	Kick Ball Crazy","	20210425",66,2,0,0,3.03,0,0,0,0,1,50
223,"	Ecuador","	Kick Ball Crazy","	20210425",85,0,0,0,0,0,0,0,0,0,0
224,"	East Timor","	Kick Ball Crazy","	20210425",1,0,0,0,0,0,0,0,0,0,0
225,"	Uruguay","	Kick Ball Crazy","	20210425",109,2,0,0,1.83,0,0,0,0,2,100
226,"	Argentina","	Kick Ball Crazy","	20210425",70,17,6,0,24.29,35.29,0,0,0,6,35.29
227,"	Israel","	Kick Ball Crazy","	20210425",6,1,0,0,16.67,0,0,0,0,0,0
